T (K),Cp (J/kg.K)
116.666666666667,293.055555555556
172.222222222222,439.583333333333
255.555555555556,627.976190476191
394.444444444444,879.166666666667
533.333333333333,1055
672.222222222222,1151.28968253968
811.111111111111,1205.71428571429
950,1239.20634920635
1088.88888888889,1255.95238095238
